Epoch:263/1000, hm:1.01534, ciou:0.29065, lm:17.36243, total:4.20482
Epoch:264/1000, hm:0.98900, ciou:0.29029, lm:17.48895, total:4.18934
Epoch:265/1000, hm:1.00612, ciou:0.28917, lm:17.38870, total:4.19083
Epoch:266/1000, hm:0.99962, ciou:0.28946, lm:17.38883, total:4.18582
Epoch:267/1000, hm:1.01521, ciou:0.29199, lm:17.27748, total:4.20293
Epoch:268/1000, hm:0.99127, ciou:0.29291, lm:17.27080, total:4.18289
Epoch:269/1000, hm:0.99278, ciou:0.29080, lm:17.56765, total:4.20355
Epoch:270/1000, hm:0.98718, ciou:0.29085, lm:17.36147, total:4.17760
Epoch:270/1000, Easy:0.91523, Medium:0.89636, Hard:0.73165
Epoch:271/1000, hm:0.99936, ciou:0.29172, lm:17.35876, total:4.19384
Epoch:272/1000, hm:0.99731, ciou:0.28826, lm:17.30284, total:4.16888
Epoch:273/1000, hm:1.03596, ciou:0.29333, lm:17.57924, total:4.26052
Epoch:274/1000, hm:1.00348, ciou:0.28940, lm:17.40427, total:4.19093
Epoch:275/1000, hm:0.98555, ciou:0.29380, lm:17.54558, total:4.20909
Epoch:276/1000, hm:1.01857, ciou:0.28989, lm:17.49265, total:4.21727
Epoch:277/1000, hm:1.00435, ciou:0.29149, lm:17.48326, total:4.21011
Epoch:278/1000, hm:1.00080, ciou:0.28985, lm:17.36254, total:4.18629
Epoch:279/1000, hm:0.98480, ciou:0.28945, lm:17.33875, total:4.16590
Epoch:280/1000, hm:0.98658, ciou:0.29064, lm:17.36272, total:4.17605
Epoch:280/1000, Easy:0.91210, Medium:0.89485, Hard:0.73618
Epoch:281/1000, hm:1.00412, ciou:0.28881, lm:17.24024, total:4.17217
Epoch:282/1000, hm:1.01139, ciou:0.28889, lm:17.42342, total:4.19817
Epoch:283/1000, hm:0.99254, ciou:0.28980, lm:17.40310, total:4.18184
Epoch:284/1000, hm:0.98822, ciou:0.29087, lm:17.47846, total:4.19043
Epoch:285/1000, hm:0.96841, ciou:0.28897, lm:17.22353, total:4.13563
Epoch:286/1000, hm:0.97889, ciou:0.28977, lm:17.39043, total:4.16676
Epoch:287/1000, hm:0.98372, ciou:0.28946, lm:17.17384, total:4.14840
Epoch:288/1000, hm:0.97488, ciou:0.29113, lm:17.34196, total:4.16473
Epoch:289/1000, hm:0.97776, ciou:0.28898, lm:17.23650, total:4.14629
Epoch:290/1000, hm:0.99251, ciou:0.28558, lm:17.08416, total:4.12881
Epoch:290/1000, Easy:0.91771, Medium:0.89949, Hard:0.73448
Epoch:291/1000, hm:0.98883, ciou:0.28625, lm:17.35402, total:4.15549
Epoch:292/1000, hm:0.99147, ciou:0.28807, lm:17.26941, total:4.15877
Epoch:293/1000, hm:0.96410, ciou:0.28661, lm:17.34101, total:4.13127
Epoch:294/1000, hm:0.98747, ciou:0.29100, lm:17.31178, total:4.17364
Epoch:295/1000, hm:0.97220, ciou:0.28597, lm:17.36847, total:4.13890
